average_stars,fans,number_of_friends,numberOfReviews,averageSentiment,averageStars,funnyVotes,usefulVotes,coolVotes
3.9,0,11,1,0.0228571428571,5,0,1,0
3.48,0,0,5,0.320698698699,3,0,0,0
3.0,1,1,1,0.170089285714,1,0,4,0
3.8,0,0,1,-0.100694444444,2,0,0,0
2.58,1,0,1,0.0062962962963,2,0,0,0
2.75,0,0,3,0.164826007326,2,0,0,0
4.2,0,0,3,0.336787388222,5,0,0,0
1.0,0,0,1,-0.3,1,0,0,0
1.0,0,0,1,-0.207222222222,1,0,1,1
4.0,0,0,1,0.424090909091,4,0,0,0
5.0,0,3,1,0.490909090909,5,0,0,0
3.86,0,3,2,0.482196969697,4,0,1,0
5.0,0,0,1,0.627272727273,5,0,0,0
3.5,0,0,3,0.287726671477,4,0,0,0
2.33,0,0,2,0.278507034632,3,0,0,0
3.5,0,2,12,0.288285826525,3,0,1,0
1.0,0,0,1,-0.3125,1,1,1,0
2.98,0,3,2,0.131478045764,2,0,0,0
5.0,0,0,1,0.391666666667,5,0,0,0
3.1,1,4,1,-0.0125,1,0,0,0
4.09,0,2,3,0.341481782107,4,0,4,1
3.5,0,17,18,0.163593948102,3,0,0,0
4.38,0,1,4,0.133003472222,4,0,0,0
5.0,0,0,1,0.186655443322,5,0,0,0
4.34,14,35,11,0.106009956065,4,2,1,1
3.91,0,1,3,0.130033855034,3,0,1,0
3.91,1,1,1,0.554642857143,4,1,3,1
3.6,0,0,2,0.291458333333,3,0,0,0
4.73,0,8,7,0.314220344388,5,0,0,0
4.44,9,12,1,0.124571428571,5,1,1,1
1.0,0,1,1,0.113333333333,1,0,2,0
2.0,0,0,1,0.372083333333,2,0,0,0
4.49,2,1,1,0.461111111111,5,0,0,0
4.5,0,3,2,0.415916666667,4,0,2,0
4.67,0,0,2,0.487630208333,4,0,0,0
3.96,0,1,1,0.389197860963,5,0,1,0
3.8,0,0,1,0.110858585859,4,0,0,0
3.26,7,41,3,0.286455782313,3,0,0,0
4.75,0,0,5,0.582043908472,4,0,0,0
3.5,0,6,1,0.467222222222,5,0,0,1
3.59,1,4,3,0.162357179857,3,0,0,0
4.0,0,6,5,0.218470512821,4,0,0,0
5.0,0,21,1,0.2,5,0,0,0
3.81,0,1,1,0.271875,4,0,0,0
5.0,0,0,1,0.484583333333,5,0,0,0
3.33,0,0,1,0.5,4,0,0,0
1.0,0,0,1,-0.0315586419753,1,0,0,0
4.04,0,1,6,0.247954483788,3,0,0,0
4.29,0,7,4,0.209844790626,4,0,0,0
4.2,0,4,1,0.266666666667,5,0,2,0
3.52,7,50,45,0.15591206857,3,0,1,0
3.0,0,0,1,0.159722222222,5,0,0,0
3.66,1,2,1,0.183333333333,4,0,0,0
4.38,1,1,3,0.420833333333,4,0,0,0
4.43,0,1,2,0.453888888889,3,0,0,0
3.29,0,0,4,0.214083581349,4,2,1,0
4.33,0,0,1,0.288291486291,4,0,0,0
4.35,1,1,4,0.260891452162,4,0,1,0
3.6,0,1,5,0.349768398268,3,0,1,0
3.76,1,2,3,0.252140588788,4,0,1,1
3.87,1,10,5,0.233703463203,3,0,1,0
2.4,0,3,5,0.023417989418,2,0,0,0
4.16,0,3,3,0.175999973902,3,0,0,0
4.75,0,1,2,0.523333333333,4,0,1,0
3.33,0,0,3,0.124216169633,3,0,0,0
4.08,0,2,1,0.136363636364,5,0,0,0
4.08,0,0,5,0.170858694084,3,0,0,0
3.33,0,1,3,0.476661692684,3,0,0,0
4.0,0,2,2,0.4775,4,0,0,0
3.7,5,125,3,0.240822923399,3,0,0,0
5.0,0,1,1,0.0253472222222,5,0,0,0
3.62,0,0,2,0.319097222222,3,0,0,0
3.43,0,2,13,0.29304580038,3,0,0,0
3.9,0,0,3,0.356040464165,4,0,0,0
5.0,0,0,1,0.335714285714,5,0,0,0
3.5,0,1,4,0.351276041667,3,0,0,0
1.0,0,0,1,-0.0701765188834,1,0,1,1
3.66,0,1,6,0.372256693923,3,0,0,0
3.65,4,27,9,0.207594903281,3,0,0,0
3.62,0,0,2,0.191142857143,3,2,3,2
4.74,0,0,1,0.312424242424,5,1,2,2
5.0,0,0,2,0.540277777778,5,0,0,0
3.93,1,1,10,0.271927004309,3,0,0,0
3.73,3,14,14,0.263589868586,3,0,0,0
4.64,0,12,4,0.324284465534,5,0,1,0
2.13,0,1,1,0.159396258503,3,0,1,1
4.38,1,9,1,0.5,5,0,0,0
3.75,0,2,2,0.4625,5,0,0,0
3.89,2,26,1,0.375,4,0,0,0
4.6,0,0,4,0.500967261905,4,0,0,0
4.2,0,0,1,0.219871794872,5,0,0,0
3.67,0,0,2,0.20625,3,0,1,0
4.0,0,0,1,0.0666666666667,4,0,0,0
5.0,0,0,1,0.112222222222,5,0,2,0
1.0,0,0,1,5.04646829375e-18,1,0,0,0
2.2,0,0,8,0.0489215994136,2,0,0,0
1.0,0,1,2,0.116898148148,1,0,1,0
3.98,4,15,1,0.238636363636,4,1,1,1
5.0,0,15,1,0.9921875,5,0,0,0
3.67,0,0,1,0.149100378788,2,0,0,0
4.0,0,0,3,0.242424413549,4,0,0,0
4.0,0,0,1,0.46125,4,0,0,0
3.12,0,0,1,0.1459375,2,0,1,0
3.0,0,0,2,0.0915851648352,3,0,0,0
3.85,3,5,8,0.244098891759,3,0,0,0
4.54,0,2,3,0.170919312169,4,0,0,0
4.07,0,2,1,0.188633156966,5,0,0,0
3.75,0,0,2,0.32875,4,0,0,0
3.86,1,13,42,0.359442332062,4,0,0,0
4.4,0,5,1,0.0520833333333,4,0,0,0
4.0,0,1,1,0.436904761905,4,0,1,1
4.0,0,0,1,0.369618055556,4,0,0,0
4.0,0,0,1,0.0646081349206,4,0,0,0
3.43,1,5,11,0.197186776098,3,0,0,0
3.75,0,0,1,0.241315238581,1,0,0,0
3.5,0,11,2,0.33501984127,4,0,0,0
3.67,0,0,2,0.0193295257374,1,0,0,0
2.83,0,1,1,0.446590909091,5,0,1,0
3.69,3,0,3,0.35832096475,3,0,0,0
1.0,0,0,1,-0.0811662946429,1,1,3,0
3.67,0,0,3,0.178341034879,3,0,0,0
4.0,50,118,1,0.168862516794,3,3,3,2
1.8,0,0,1,-0.425,1,0,0,0
3.25,0,1,1,0.421666666667,1,1,2,0
4.0,0,0,1,0.766666666667,4,0,0,0
4.0,0,2,1,0.51,4,0,0,1
1.0,0,0,1,0.075,1,0,0,0
3.6,20,140,9,0.214720070828,4,0,1,0
3.0,0,0,1,0.308571428571,3,0,1,0
2.92,1,0,54,0.24410028359,2,0,0,0
2.92,1,1,1,0.628333333333,5,1,0,0
3.54,0,0,7,0.267330781817,4,0,0,0
4.36,0,1,2,0.194175084175,3,0,0,0
1.0,0,0,1,0.125444444444,1,0,1,0
4.0,0,0,3,0.440277777778,4,0,2,0
3.47,0,0,1,0.165,4,0,0,0
3.2,1,2,4,0.117164294837,1,0,1,0
4.02,1,1,3,0.286873433584,3,0,0,0
3.95,2,86,17,0.222500416991,3,0,2,0
4.04,0,1,19,0.308936910312,4,0,0,0
3.76,1,0,6,0.232760163857,4,0,0,0
3.0,0,0,1,0.77,4,0,0,0
4.29,30,123,6,0.185500141274,5,17,18,17
5.0,0,0,1,0.164015151515,5,0,0,0
3.97,3,6,1,0.141209550866,3,0,2,0
5.0,0,7,1,0.445208333333,5,0,0,0
3.8,0,1,1,-0.0582407407407,4,0,1,0
5.0,0,0,1,0.479761904762,5,0,1,0
2.83,1,0,5,0.140499814471,3,0,0,0
3.72,2,0,1,0.199630541872,1,1,0,1
5.0,0,0,1,0.263133116883,5,0,1,0
4.67,0,0,3,0.32744212963,4,0,0,0
3.92,0,20,10,0.327021700753,3,0,0,0
3.0,0,16,4,0.363465839303,3,0,1,0
3.0,0,1,3,0.308823853616,4,0,0,0
3.0,0,0,1,-0.139583333333,3,0,0,0
2.85,2,4,1,0.0722222222222,1,1,3,0
4.2,0,0,1,0.8,5,0,0,0
4.0,0,0,1,0.9,4,0,0,0
2.11,0,0,1,0.170232426304,5,0,0,1
3.34,1,2,1,0.270833333333,2,2,3,0
3.0,0,0,1,0.345138888889,3,0,0,0
3.83,1,2,2,0.268007455507,2,0,0,0
4.0,0,0,1,-0.0833333333333,4,0,0,0
3.99,0,15,3,0.167604221176,4,0,0,0
3.53,1,0,5,0.265948065164,3,0,0,0
4.69,2,18,8,0.250236609219,4,0,3,0
3.91,2,2,1,0.475,5,0,0,0
3.39,0,0,14,0.234583373038,3,0,0,0
4.5,0,0,1,0.358333333333,5,0,1,0
3.6,0,0,1,0.579545454545,5,0,1,1
3.2,0,1,3,0.270580808081,3,0,1,0
3.19,0,0,3,0.320530133929,4,0,0,0
4.5,0,2,2,0.302575011196,4,0,2,0
3.6,0,0,1,0.211454545455,1,0,0,0
4.2,0,0,2,0.267864583333,3,0,0,0
3.57,0,3,1,-0.148333333333,2,0,0,0
3.8,0,1,1,-0.0540709290709,1,0,0,0
3.7,10,25,3,0.283476631393,4,0,1,0
3.62,2,17,99,0.206702338869,3,0,0,0
4.29,0,0,1,0.468181818182,5,0,0,0
5.0,0,0,2,0.329102564103,5,0,0,0
4.25,0,2,6,0.303637679314,4,0,0,0
4.05,0,2,25,0.282787262341,4,0,0,0
4.04,0,0,1,0.222647352647,5,1,1,0
4.75,0,0,4,0.288194444444,4,0,0,0
3.25,3,0,7,0.152136490494,3,0,0,0
3.33,0,0,4,0.235982142857,3,0,0,0
3.94,0,1,16,0.196111393607,3,0,0,0
3.62,0,0,1,0.415,4,0,1,0
4.5,0,1,3,0.25265583664,4,0,0,0
5.0,0,0,1,0.109573412698,5,0,1,0
3.84,0,20,30,0.239940545566,3,0,1,0
5.0,0,0,1,0.0559090909091,5,0,0,0
3.27,0,0,1,0.58,5,0,0,1
5.0,0,0,1,0.85,5,0,0,0
3.9,3,4,7,0.166732687462,3,0,0,0
3.0,0,0,1,0.0936738095238,2,1,3,1
3.5,0,0,10,0.223147975933,3,0,0,0
4.75,0,0,3,0.404215443122,4,0,1,0
4.0,0,20,1,0.244192821068,4,0,0,0
3.2,2,45,3,0.293945374801,3,0,1,0
3.0,0,0,1,0.307933884298,5,1,2,1
4.16,0,0,1,0.132723214286,5,0,1,1
3.75,1,0,2,0.1,2,0,0,0
5.0,0,2,1,0.339440104167,5,0,0,0
3.55,2,1,3,0.17316468254,3,0,1,0
1.0,0,0,2,-0.0824784301347,1,0,1,0
3.67,1,2,4,0.232458964646,3,0,0,0
3.94,0,2,1,0.5,5,0,0,0
4.0,0,0,1,0.195289855072,4,0,0,0
2.0,0,2,2,-0.0767893217893,1,1,5,1
3.11,0,4,2,-0.0328621031746,3,0,2,0
3.71,0,0,5,0.284567521368,4,0,0,0
4.5,0,0,4,0.455871212121,4,0,0,0
4.0,0,0,3,0.460416666667,5,0,0,0
3.36,0,0,5,0.303759807505,3,0,1,0
4.03,0,0,12,0.306915922619,4,0,0,0
4.3,2,26,57,0.240662783114,4,0,1,0
3.27,0,5,9,0.265954719149,2,0,0,0
3.0,0,0,2,0.206511544012,4,0,0,0
4.0,0,1,1,0.68,4,1,0,0
3.0,0,0,2,0.180126226654,3,0,0,0
2.5,0,0,4,0.0845660511364,2,0,0,0
4.42,24,108,50,0.369971591395,4,0,0,0
4.5,0,0,1,0.496,4,0,0,0
3.93,17,26,21,0.286335102927,4,0,0,0
5.0,0,0,1,0.506080808081,5,0,1,0
3.71,1,0,3,0.343275208588,4,0,0,0
3.4,8,14,6,0.246369962663,4,1,1,1
3.6,0,0,1,0.492407407407,5,0,1,1
3.8,0,0,1,-0.0833333333333,1,0,0,0
3.82,5,16,10,0.315093674844,3,0,0,0
4.75,0,1,2,0.489166666667,4,0,0,0
1.5,0,0,1,0.291666666667,2,0,1,0
3.0,0,0,1,0.372857142857,4,0,0,0
3.56,6,5,23,0.175228299865,3,0,0,0
1.5,0,0,1,0.0375,1,0,0,0
5.0,0,0,1,0.60625,5,0,0,0
3.33,0,0,2,0.0,4,0,0,0
3.5,0,0,4,0.488523065476,4,0,1,0
5.0,0,1,1,0.308333333333,5,0,0,0
5.0,0,12,1,0.162037037037,5,0,0,0
2.62,0,0,1,-0.124489795918,1,0,0,0
4.0,0,16,1,0.7,4,0,1,0
4.33,0,0,3,0.284404761905,4,0,0,0
4.23,10,23,4,0.231429070681,5,0,0,0
5.0,0,0,1,0.875,5,0,0,0
3.67,0,4,1,0.185648148148,3,0,2,0
3.29,0,0,1,0.289642857143,5,0,0,0
3.56,2,17,3,0.123694505261,3,0,0,0
2.25,0,4,1,-0.6,1,0,0,0
3.67,1,1,1,0.0868299881936,3,0,0,0
5.0,0,0,1,0.875,5,0,0,0
3.88,0,0,1,-0.065,2,0,2,0
5.0,0,0,1,0.443402777778,5,1,1,1
4.0,0,0,1,0.0402173913043,5,1,1,1
3.4,0,0,2,0.222746318922,4,0,1,0
4.0,0,0,1,0.0940476190476,4,0,0,0
4.0,0,0,1,0.3,4,0,0,0
3.62,2,3,1,0.094713313897,2,1,1,1
3.67,0,3,7,0.19108102214,3,0,0,0
3.91,0,0,2,0.434039256198,3,0,0,0
4.03,0,0,1,0.875,5,0,0,0
3.22,5,2,9,0.179740889827,2,0,0,0
4.0,0,5,3,0.238720659747,4,0,1,0
2.17,0,0,1,0.9375,5,0,5,0
3.94,0,0,3,0.135155874218,4,0,0,0
5.0,0,3,5,0.540808333333,5,0,0,0
3.83,14,50,8,0.18606279507,3,0,1,0
4.17,0,1,4,0.323035451681,4,0,1,0
5.0,0,0,1,0.393333333333,5,0,0,0
4.27,0,0,11,0.292078394039,4,0,0,0
5.0,0,0,1,0.775,5,0,0,0
1.5,1,0,6,-0.103454861111,1,0,0,0
3.4,0,0,1,-0.101941287879,1,0,0,0
3.5,0,0,2,0.209052711994,3,1,1,0
3.0,0,0,1,0.138703703704,3,0,0,0
4.5,0,0,1,0.277222222222,4,0,1,0
2.33,0,1,3,-0.0884920634921,2,2,1,0
1.0,0,2,1,0.117666666667,1,3,0,0
1.67,2,6,3,0.0634460612014,1,0,1,0
4.38,0,0,3,0.140931154779,3,0,1,1
4.07,2,0,16,0.263554075457,4,0,0,0
4.14,4,12,5,0.219790009001,4,0,0,0
1.0,0,0,1,-0.318229166667,1,0,2,0
3.86,1,5,1,0.0815789473684,4,0,1,0
5.0,0,0,2,0.528327922078,5,0,0,0
5.0,0,0,1,0.42455667789,5,0,0,0
2.38,0,0,1,0.306323242188,1,1,7,1
1.0,0,0,1,-0.111962632275,1,0,0,0
5.0,0,0,1,0.405113636364,5,0,0,0
5.0,0,5,1,0.215857371795,5,0,0,0
2.75,0,38,3,0.14380952381,2,0,1,0
4.18,1,3,18,0.222791154279,4,0,0,0
4.5,0,0,2,0.192965095029,5,0,0,0
3.83,0,0,3,0.430654761905,4,0,0,0
3.72,54,163,13,0.245309031247,3,0,0,0
1.0,0,0,1,-0.120238095238,1,0,2,0
4.33,1,26,3,0.283368247584,4,1,1,0
3.67,0,0,3,0.0655066413139,3,0,0,0
4.5,0,0,1,0.243585526316,4,0,0,0
4.0,0,0,1,0.333333333333,4,0,0,0
4.67,0,0,1,0.319543650794,5,0,2,0
3.88,2,6,1,0.5275,5,0,2,1
3.75,2,12,1,-0.0344444444444,2,0,2,1
3.83,7,32,10,0.219700931582,3,0,0,0
5.0,0,2,2,0.450777698864,5,0,0,0
5.0,0,0,1,0.4875,5,0,0,0
3.62,0,0,3,0.22875,3,0,0,0
3.75,5,5,1,-9.25185853854e-18,2,0,0,0
3.0,1,3,3,0.323628472222,3,0,1,0
2.5,0,0,2,0.0627319109462,2,0,0,0
4.0,0,0,1,0.466666666667,5,0,0,0
3.29,16,22,12,0.221347181734,4,0,1,0
3.5,0,0,2,0.453685897436,4,0,0,0
5.0,0,0,1,0.606398809524,5,0,2,1
3.36,0,1,14,0.153681815075,3,0,0,0
3.64,0,0,7,0.228764097744,4,0,0,0
3.5,0,0,1,0.134109848485,2,0,2,0
3.83,0,0,1,-0.198148148148,1,0,2,1
3.8,52,78,7,0.148457722833,3,9,1,2
2.6,0,0,5,0.0835593711844,2,0,0,0
4.2,0,1,4,0.174795105069,4,0,0,0
3.82,9,25,31,0.220214566687,3,0,0,0
4.0,0,1,1,0.301785714286,5,0,0,0
3.67,0,1,1,0.494114615543,5,0,1,1
3.0,1,0,2,0.0576925505051,3,0,0,0
4.5,0,0,13,0.258031064886,4,0,0,0
3.0,0,1,1,0.213181818182,3,0,0,0
1.0,0,0,2,0.229707792208,1,1,0,0
2.67,0,30,3,-0.109722222222,2,0,0,0
4.5,0,0,1,0.777777777778,5,0,0,0
4.42,1,6,2,0.334653087798,4,0,1,1
4.67,2,2,1,0.120359002976,4,0,2,1
3.17,0,1,2,0.343925137363,4,0,0,0
3.37,1,1,4,0.167767068001,3,0,0,0
4.17,0,1,4,0.338234848485,4,0,1,0
4.86,1,1,1,0.615104166667,5,0,1,1
3.96,1,0,3,0.222016511267,4,0,0,0
5.0,0,0,1,0.5525,5,0,1,1
3.85,8,15,1,0.566666666667,5,0,0,1
5.0,0,0,2,0.517920918367,5,0,0,0
1.0,0,0,1,-0.0244444444444,1,0,0,0
4.07,0,2,1,0.0826543209877,4,1,1,0
3.0,0,0,1,0.189333333333,1,0,1,0
1.0,0,0,1,-0.533333333333,1,0,2,0
3.5,0,3,1,-0.578125,1,1,0,0
4.11,14,40,2,0.272029740338,4,0,1,0
3.48,2,11,3,0.279808017343,3,0,2,1
3.83,0,1,2,0.262762445887,5,0,1,0
4.0,0,0,1,0.625,5,0,0,0
4.67,0,0,2,0.37807874665,5,0,2,0
4.36,3,50,1,0.2,5,6,2,4
4.0,0,0,6,0.287061905886,4,0,0,0
3.71,5,15,2,0.297995035718,4,0,2,0
3.7,1,1,1,0.116449594467,1,0,2,0
2.43,0,0,2,-0.0247195512821,2,0,1,0
3.58,0,8,1,0.244545454545,3,0,3,0
1.0,0,0,1,-0.11917989418,1,0,0,0
4.0,0,0,2,0.41119047619,5,0,0,0
2.92,0,0,3,0.15781240495,3,0,1,0
4.14,1,1,4,0.198790843127,4,0,0,0
4.06,3,54,49,0.215403528073,4,0,0,0
3.95,0,1,3,0.0727771249754,3,0,0,0
4.14,2,7,1,0.203901515152,5,0,0,0
5.0,0,0,1,0.47,5,0,0,0
4.0,0,0,1,0.00833333333333,4,0,0,0
3.74,12,16,4,0.269663584373,4,1,1,0
5.0,0,0,1,0.75,5,0,0,0
3.82,0,0,2,0.39046875,4,0,0,0
3.64,10,45,3,0.0930288814499,3,1,2,0
3.0,0,0,1,-0.0470238095238,1,0,3,0
3.5,9,27,1,0.0706379268879,3,3,11,3
4.5,0,6,3,0.770833333333,5,0,0,0
3.75,2,5,1,0.36875,5,0,0,0
3.97,6,18,2,0.169146825397,3,0,0,0
5.0,0,0,1,0.410811688312,5,0,1,0
1.0,0,0,1,-0.15,1,0,0,0
3.5,4,5,3,0.14697845805,3,0,1,1
3.67,0,0,3,0.308859508547,3,0,0,0
4.8,0,0,1,0.225,5,0,0,0
4.4,0,0,3,0.584151785714,4,0,0,0
3.4,0,3,5,0.144244400171,3,0,1,0
3.09,0,0,1,0.0375,2,0,0,0
5.0,0,0,1,0.210277777778,5,0,0,0
4.71,1,0,7,0.387045672216,4,0,0,0
5.0,0,2,1,0.59375,5,0,1,0
3.33,0,0,3,0.380049603175,3,0,0,0
1.0,0,0,1,-0.329545454545,1,1,2,0
1.0,0,0,1,0.272012362637,1,0,0,0
3.18,0,15,7,0.180640905226,3,0,0,0
2.9,0,3,9,0.143365926126,2,0,0,0
4.58,1,1,1,0.214091880342,4,0,0,0
1.0,0,0,1,0.210714285714,1,0,1,0
4.0,0,0,1,0.53375,4,0,0,0
2.0,0,0,1,0.156944444444,2,0,0,0
3.0,0,0,2,0.0138097304894,1,1,0,0
3.42,0,1,2,0.119166666667,3,0,0,0
3.17,0,15,4,0.177357824709,2,0,1,0
3.2,3,5,4,0.117728571213,3,0,0,0
4.09,1,0,4,0.367999860763,4,0,0,0
3.99,27,106,20,0.262200498167,3,3,4,3
3.67,0,0,1,0.45,5,0,0,0
1.0,0,0,1,-0.378333333333,1,0,0,0
3.4,1,1,1,0.333333333333,4,0,0,0
5.0,0,0,1,0.130512265512,5,0,1,3
5.0,0,0,1,1.0,5,0,0,0
4.21,0,0,1,0.0979166666667,5,0,2,0
3.67,0,2,2,0.330351989281,4,0,0,0
2.8,0,0,3,0.219991181658,2,0,0,0
3.84,0,3,3,0.334551282051,4,0,0,0
5.0,0,0,1,0.362293956044,5,0,2,1
4.56,0,0,9,0.1,4,0,0,0
3.98,0,1,9,0.225415684735,4,0,0,0
5.0,0,0,1,0.169318181818,5,0,1,0
3.84,7,10,2,0.278946080925,3,0,0,0
3.38,1,3,1,0.222172619048,3,0,0,0
5.0,0,0,1,0.333333333333,5,0,0,0
4.02,1,16,15,0.150015945166,3,0,1,0
3.25,0,5,7,0.122895724557,3,0,0,0
1.0,0,0,3,0.0644290123457,1,0,1,0
5.0,0,1,1,0.4575,5,0,0,0
3.72,2,4,2,0.243576388889,5,0,0,0
2.78,0,0,1,0.0108928571429,1,1,4,1
3.5,0,0,1,0.0753968253968,2,0,0,0
4.0,0,24,1,0.0727272727273,4,1,1,1
3.86,1,2,5,0.154260838273,4,3,1,0
3.0,0,0,1,0.125,4,0,1,0
5.0,0,0,1,0.832514880952,5,0,0,0
1.0,0,0,2,-0.190977945147,1,0,0,0
1.0,0,0,1,-0.176977478781,1,0,0,0
1.0,0,5,1,-0.0833333333333,1,0,1,0
4.37,4,2,6,0.239666130896,4,0,1,0
3.38,4,4,2,0.13869047619,3,0,0,0
1.0,0,0,1,0.0,1,0,0,0
3.75,0,1,4,0.1670871374,4,0,0,0
3.53,24,12,38,0.126414594437,3,0,0,0
4.18,6,9,1,0.140625,3,2,0,0
3.86,0,0,12,0.226417500902,3,0,0,0
4.09,3,4,1,0.673888888889,5,1,1,1
5.0,0,0,1,-0.666666666667,5,1,0,0
1.33,0,4,3,-0.0618079176115,1,0,0,0
3.61,4,10,3,0.377290448343,4,0,0,0
5.0,0,3,2,0.143823815074,5,0,0,0
1.33,0,0,2,-0.209973958333,1,0,0,0
3.0,0,1,1,0.0493506493506,3,1,0,0
5.0,0,1,1,0.575,5,0,1,1
3.85,0,1,1,0.28880952381,5,0,1,0
1.71,0,0,1,0.296892230576,3,0,1,0
3.83,0,0,1,0.312968253968,5,0,0,1
4.6,0,0,4,0.411979166667,4,0,0,0
3.2,0,0,2,0.0818287037037,4,0,0,0
3.64,0,1,6,0.400795145544,4,0,0,0
4.2,0,3,1,0.238897243108,5,0,1,0
3.96,29,51,8,0.250591142076,4,0,0,0
3.63,2,18,95,0.228780056314,3,0,0,0
4.4,0,0,4,0.178043473528,4,0,0,0
3.6,0,2,6,0.343552403718,4,0,0,0
2.95,1,6,29,0.208201216122,3,0,0,0
3.5,0,1,1,0.475,4,1,1,2
4.47,1,1,4,0.291906511519,4,0,0,0
3.35,2,5,1,0.218161231884,3,0,0,0
5.0,0,0,1,0.345833333333,5,0,0,0
5.0,0,0,1,0.258417508418,5,0,0,0
3.0,0,0,1,-0.0576507936508,1,0,0,0
3.96,0,0,2,0.144243454958,2,0,0,0
3.79,1,0,4,0.17224753256,3,0,0,0
2.33,0,0,1,-0.0170504385965,1,0,0,0
5.0,0,0,1,0.235714285714,5,0,0,0
4.33,0,0,3,0.2442003367,4,0,0,0
3.39,0,8,54,0.228032260272,3,0,0,0
3.73,3,0,2,0.0693496260684,2,0,1,0
3.88,0,0,7,0.417891632177,3,0,0,0
4.2,0,0,10,0.247228882477,4,0,0,0
5.0,0,0,2,0.585416666667,5,0,0,0
3.55,17,194,266,0.189002641392,3,1,3,2
